Date,Expiration,Price
2020-01-24,2023-12,2.6459999084472656
2020-01-27,2023-12,2.63100004196167
2020-01-28,2023-12,2.6429998874664307
2020-01-29,2023-12,2.632999897003174
2020-01-30,2023-12,2.628000020980835
2020-01-31,2023-12,2.628999948501587
2020-02-03,2023-12,2.624000072479248
2020-02-04,2023-12,2.625
2020-02-05,2023-12,2.61299991607666
2020-02-06,2023-12,2.632999897003174
2020-02-07,2023-12,2.6510000228881836
2020-02-10,2023-12,2.6429998874664307
2020-02-11,2023-12,2.6480000019073486
2020-02-12,2023-12,2.6549999713897705
2020-02-13,2023-12,2.6449999809265137
2020-02-14,2023-12,2.632999897003174
2020-02-18,2023-12,2.61899995803833
2020-02-19,2023-12,2.622999906539917
2020-02-20,2023-12,2.618000030517578
2020-02-21,2023-12,2.619999885559082
2020-02-24,2023-12,2.615000009536743
2020-02-25,2023-12,2.621999979019165
2020-02-26,2023-12,2.63700008392334
2020-02-27,2023-12,2.627000093460083
2020-02-28,2023-12,2.630000114440918
2020-03-02,2023-12,2.6649999618530273
2020-03-03,2023-12,2.6610000133514404
2020-03-04,2023-12,2.6419999599456787
2020-03-05,2023-12,2.621999979019165
2020-03-06,2023-12,2.61899995803833
2020-03-09,2023-12,2.6510000228881836
2020-03-10,2023-12,2.6579999923706055
2020-03-11,2023-12,2.619999885559082
2020-03-12,2023-12,2.5799999237060547
2020-03-13,2023-12,2.575000047683716
2020-03-16,2023-12,2.575000047683716
2020-03-17,2023-12,2.5929999351501465
2020-03-18,2023-12,2.5959999561309814
2020-03-19,2023-12,2.6089999675750732
2020-03-20,2023-12,2.5980000495910645
2020-03-23,2023-12,2.5929999351501465
2020-03-24,2023-12,2.5940001010894775
2020-03-25,2023-12,2.5889999866485596
2020-03-26,2023-12,2.566999912261963
2020-03-27,2023-12,2.5980000495910645
2020-03-30,2023-12,2.6059999465942383
2020-03-31,2023-12,2.6080000400543213
2020-04-01,2023-12,2.5810000896453857
2020-04-02,2023-12,2.566999912261963
2020-04-03,2023-12,2.5510001182556152
2020-04-06,2023-12,2.566999912261963
2020-04-07,2023-12,2.561000108718872
2020-04-08,2023-12,2.578000068664551
2020-04-09,2023-12,2.6029999256134033
