time,temperature_2m_max (°F),temperature_2m_min (°F),temperature_2m_mean (°F),sunrise (iso8601),sunset (iso8601),precipitation_sum (inch),rain_sum (inch),snowfall_sum (inch),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (inch)
2022-01-01,1.5,-10.0,-3.7,2022-01-01T09:20,2022-01-01T16:43,0.008,0.000,0.055,2.27,0.004
2022-01-02,6.7,-5.2,2.2,2022-01-02T09:20,2022-01-02T16:45,0.059,0.000,0.413,1.47,0.005
2022-01-03,6.2,-13.9,-4.2,2022-01-03T09:20,2022-01-03T16:46,0.020,0.000,0.138,2.59,0.003
2022-01-04,19.2,8.1,13.5,2022-01-04T09:20,2022-01-04T16:47,0.079,0.000,0.551,1.35,0.005
2022-01-05,12.5,-1.4,6.8,2022-01-05T09:19,2022-01-05T16:48,0.000,0.000,0.000,3.08,0.005
2022-01-06,10.5,-9.5,-0.1,2022-01-06T09:19,2022-01-06T16:50,0.000,0.000,0.028,2.25,0.004
2022-01-07,14.0,3.2,9.7,2022-01-07T09:18,2022-01-07T16:51,0.039,0.000,0.276,2.30,0.005
2022-01-08,4.7,-13.0,-4.7,2022-01-08T09:18,2022-01-08T16:52,0.000,0.000,0.000,3.29,0.003
2022-01-09,-11.0,-30.1,-17.4,2022-01-09T09:17,2022-01-09T16:54,0.000,0.000,0.000,3.64,0.003
2022-01-10,6.9,-19.8,-8.3,2022-01-10T09:16,2022-01-10T16:55,0.024,0.000,0.165,2.51,0.004
2022-01-11,9.5,-5.7,3.8,2022-01-11T09:15,2022-01-11T16:57,0.004,0.000,0.028,2.71,0.006
2022-01-12,10.3,-9.0,0.2,2022-01-12T09:15,2022-01-12T16:59,0.008,0.000,0.055,2.29,0.006
2022-01-13,5.9,-10.8,-0.4,2022-01-13T09:14,2022-01-13T17:00,0.000,0.000,0.000,3.02,0.005
2022-01-14,-7.1,-24.7,-15.9,2022-01-14T09:13,2022-01-14T17:02,0.000,0.000,0.000,3.79,0.003
2022-01-15,-3.5,-23.6,-14.6,2022-01-15T09:12,2022-01-15T17:04,0.000,0.000,0.000,3.25,0.003
2022-01-16,-0.8,-19.7,-10.5,2022-01-16T09:11,2022-01-16T17:06,0.000,0.000,0.000,4.06,0.004
2022-01-17,11.9,-6.4,2.9,2022-01-17T09:10,2022-01-17T17:07,0.055,0.000,0.386,1.50,0.004
2022-01-18,9.4,-2.9,4.5,2022-01-18T09:08,2022-01-18T17:09,0.016,0.000,0.110,2.56,0.005
2022-01-19,16.4,8.9,11.9,2022-01-19T09:07,2022-01-19T17:11,0.114,0.000,0.799,2.07,0.005
2022-01-20,17.3,6.0,12.5,2022-01-20T09:06,2022-01-20T17:13,0.083,0.000,0.579,2.81,0.006
2022-01-21,9.7,-4.3,2.7,2022-01-21T09:05,2022-01-21T17:15,0.000,0.000,0.000,2.96,0.005
2022-01-22,1.1,-14.9,-8.0,2022-01-22T09:03,2022-01-22T17:16,0.000,0.000,0.000,4.05,0.005
2022-01-23,7.2,-6.6,-1.0,2022-01-23T09:02,2022-01-23T17:18,0.047,0.000,0.358,2.74,0.005
