time,temperature_2m (°F),relative_humidity_2m (%),precipitation (inch),rain (inch),snowfall (inch),snow_depth (ft),et0_fao_evapotranspiration (inch)
2022-01-01T00:00,-3.9,79,0.000,0.000,0.000,0.951,0.000
2022-01-01T01:00,-5.7,79,0.000,0.000,0.000,0.951,0.000
2022-01-01T02:00,-6.0,79,0.000,0.000,0.000,0.951,0.000
2022-01-01T03:00,-5.0,78,0.000,0.000,0.000,0.951,0.000
2022-01-01T04:00,-5.1,77,0.000,0.000,0.000,0.951,0.000
2022-01-01T05:00,-5.2,78,0.000,0.000,0.000,0.951,0.000
2022-01-01T06:00,-6.1,79,0.000,0.000,0.000,0.951,0.000
2022-01-01T07:00,-8.0,81,0.000,0.000,0.000,0.951,0.000
2022-01-01T08:00,-10.0,82,0.000,0.000,0.000,0.951,0.000
2022-01-01T09:00,-8.9,82,0.000,0.000,0.000,0.951,0.000
2022-01-01T10:00,-6.9,79,0.004,0.000,0.028,0.951,0.000
2022-01-01T11:00,-4.8,78,0.004,0.000,0.028,0.951,0.000
2022-01-01T12:00,-2.4,71,0.000,0.000,0.000,0.951,0.000
2022-01-01T13:00,0.4,66,0.000,0.000,0.000,0.951,0.001
2022-01-01T14:00,1.5,66,0.000,0.000,0.000,0.951,0.001
2022-01-01T15:00,1.4,69,0.000,0.000,0.000,0.951,0.001
2022-01-01T16:00,0.9,74,0.000,0.000,0.000,0.951,0.000
2022-01-01T17:00,-0.9,76,0.000,0.000,0.000,0.951,0.000
2022-01-01T18:00,-1.6,76,0.000,0.000,0.000,0.951,0.000
2022-01-01T19:00,-1.9,76,0.000,0.000,0.000,0.951,0.000
2022-01-01T20:00,-2.0,79,0.000,0.000,0.000,0.984,0.000
2022-01-01T21:00,-2.5,79,0.000,0.000,0.000,0.984,0.000
2022-01-01T22:00,-3.1,78,0.000,0.000,0.000,0.984,0.000
2022-01-01T23:00,-2.3,79,0.000,0.000,0.000,0.984,0.000
2022-01-02T00:00,-2.0,79,0.000,0.000,0.000,0.984,0.000
2022-01-02T01:00,-1.3,78,0.000,0.000,0.000,0.984,0.000
2022-01-02T02:00,-0.4,77,0.004,0.000,0.028,0.984,0.000
2022-01-02T03:00,0.7,75,0.004,0.000,0.028,0.984,0.000
2022-01-02T04:00,1.9,73,0.004,0.000,0.028,0.984,0.000
2022-01-02T05:00,2.8,73,0.004,0.000,0.028,0.984,0.000
2022-01-02T06:00,3.8,73,0.004,0.000,0.028,0.984,0.000
2022-01-02T07:00,4.6,76,0.008,0.000,0.055,0.984,0.000
2022-01-02T08:00,4.9,78,0.004,0.000,0.028,0.984,0.000
2022-01-02T09:00,4.5,78,0.004,0.000,0.028,0.984,0.000
2022-01-02T10:00,4.5,78,0.000,0.000,0.000,0.984,0.000
2022-01-02T11:00,4.7,77,0.000,0.000,0.000,0.984,0.000
2022-01-02T12:00,5.5,77,0.004,0.000,0.028,0.984,0.001
2022-01-02T13:00,6.1,76,0.004,0.000,0.028,0.984,0.001
2022-01-02T14:00,6.7,71,0.008,0.000,0.055,0.984,0.001
2022-01-02T15:00,6.6,66,0.004,0.000,0.028,0.984,0.001
2022-01-02T16:00,6.0,69,0.004,0.000,0.028,0.984,0.001
2022-01-02T17:00,4.5,76,0.000,0.000,0.000,1.017,0.000
2022-01-02T18:00,2.6,81,0.000,0.000,0.000,1.017,0.000
2022-01-02T19:00,0.5,79,0.000,0.000,0.000,1.017,0.000
2022-01-02T20:00,-1.3,81,0.000,0.000,0.000,1.017,0.000
2022-01-02T21:00,-4.0,83,0.000,0.000,0.000,1.017,0.000
2022-01-02T22:00,-4.5,83,0.000,0.000,0.000,1.017,0.000
2022-01-02T23:00,-5.2,83,0.000,0.000,0.000,1.017,0.000
2022-01-03T00:00,-4.7,82,0.000,0.000,0.000,1.017,0.000
2022-01-03T01:00,-4.3,83,0.000,0.000,0.000,1.017,0.000
2022-01-03T02:00,-3.9,83,0.000,0.000,0.000,1.017,0.000
2022-01-03T03:00,-4.5,84,0.000,0.000,0.000,1.017,0.000
2022-01-03T04:00,-6.3,85,0.000,0.000,0.000,1.017,0.000
2022-01-03T05:00,-8.4,88,0.000,0.000,0.000,1.017,0.000
2022-01-03T06:00,-9.1,89,0.000,0.000,0.000,1.017,0.000
2022-01-03T07:00,-9.7,83,0.000,0.000,0.000,1.017,0.000
2022-01-03T08:00,-13.9,82,0.000,0.000,0.000,1.017,0.000
2022-01-03T09:00,-13.9,84,0.000,0.000,0.000,1.017,0.000
2022-01-03T10:00,-13.9,85,0.000,0.000,0.000,1.017,0.000
2022-01-03T11:00,-11.2,81,0.000,0.000,0.000,1.017,0.000
2022-01-03T12:00,-7.5,73,0.000,0.000,0.000,1.017,0.000
2022-01-03T13:00,-4.0,69,0.000,0.000,0.000,1.017,0.001
2022-01-03T14:00,-0.8,65,0.000,0.000,0.000,1.017,0.001
2022-01-03T15:00,0.0,67,0.000,0.000,0.000,1.017,0.001
2022-01-03T16:00,0.4,68,0.000,0.000,0.000,1.017,0.000
2022-01-03T17:00,-0.3,69,0.000,0.000,0.000,1.017,0.000
2022-01-03T18:00,-0.9,71,0.000,0.000,0.000,1.017,0.000
2022-01-03T19:00,1.4,73,0.000,0.000,0.000,1.017,0.000
2022-01-03T20:00,1.8,78,0.000,0.000,0.000,1.017,0.000
2022-01-03T21:00,3.0,80,0.004,0.000,0.028,1.017,0.000
2022-01-03T22:00,4.2,80,0.008,0.000,0.055,1.017,0.000
2022-01-03T23:00,6.2,78,0.008,0.000,0.055,1.017,0.000
2022-01-04T00:00,8.1,77,0.008,0.000,0.055,1.017,0.000
2022-01-04T01:00,9.1,78,0.004,0.000,0.028,1.017,0.000
2022-01-04T02:00,10.0,80,0.004,0.000,0.028,1.017,0.000
2022-01-04T03:00,10.5,82,0.000,0.000,0.000,1.017,0.000
2022-01-04T04:00,11.4,83,0.004,0.000,0.028,1.017,0.000
2022-01-04T05:00,11.2,86,0.000,0.000,0.000,1.017,0.000
2022-01-04T06:00,11.0,86,0.000,0.000,0.000,1.017,0.000
2022-01-04T07:00,11.3,87,0.004,0.000,0.028,1.050,0.000
2022-01-04T08:00,11.3,88,0.008,0.000,0.055,1.050,0.000
2022-01-04T09:00,11.7,87,0.004,0.000,0.028,1.050,0.000
2022-01-04T10:00,12.4,87,0.008,0.000,0.055,1.050,0.000
2022-01-04T11:00,14.0,84,0.012,0.000,0.083,1.050,0.000
2022-01-04T12:00,15.7,82,0.008,0.000,0.055,1.050,0.001
2022-01-04T13:00,17.3,80,0.008,0.000,0.055,1.050,0.001
2022-01-04T14:00,18.5,80,0.004,0.000,0.028,1.050,0.001
2022-01-04T15:00,19.1,81,0.004,0.000,0.028,1.050,0.001
2022-01-04T16:00,18.7,85,0.000,0.000,0.000,1.050,0.000
2022-01-04T17:00,18.5,85,0.000,0.000,0.000,1.050,0.000
2022-01-04T18:00,19.2,85,0.000,0.000,0.000,1.050,0.000
2022-01-04T19:00,18.6,87,0.000,0.000,0.000,1.050,0.000
2022-01-04T20:00,15.7,90,0.000,0.000,0.000,1.050,0.000
2022-01-04T21:00,12.6,92,0.000,0.000,0.000,1.050,0.000
2022-01-04T22:00,10.9,93,0.000,0.000,0.000,1.050,0.000
2022-01-04T23:00,8.4,94,0.000,0.000,0.000,1.050,0.000
2022-01-05T00:00,7.5,91,0.000,0.000,0.000,1.050,0.000
2022-01-05T01:00,7.7,89,0.000,0.000,0.000,1.050,0.000
2022-01-05T02:00,7.9,89,0.000,0.000,0.000,1.050,0.000
2022-01-05T03:00,7.7,89,0.000,0.000,0.000,1.050,0.000
2022-01-05T04:00,7.5,88,0.000,0.000,0.000,1.050,0.000
2022-01-05T05:00,7.7,88,0.000,0.000,0.000,1.050,0.000
2022-01-05T06:00,7.7,88,0.000,0.000,0.000,1.050,0.000
2022-01-05T07:00,7.7,88,0.000,0.000,0.000,1.050,0.000
2022-01-05T08:00,5.4,86,0.000,0.000,0.000,1.050,0.000
2022-01-05T09:00,5.3,86,0.000,0.000,0.000,1.050,0.000
2022-01-05T10:00,5.2,87,0.000,0.000,0.000,1.050,0.000
2022-01-05T11:00,6.3,86,0.000,0.000,0.000,1.050,0.000
2022-01-05T12:00,8.4,82,0.000,0.000,0.000,1.050,0.001
2022-01-05T13:00,10.6,78,0.000,0.000,0.000,1.017,0.001
2022-01-05T14:00,12.5,76,0.000,0.000,0.000,1.017,0.001
2022-01-05T15:00,12.1,78,0.000,0.000,0.000,1.017,0.001
2022-01-05T16:00,11.3,83,0.000,0.000,0.000,1.017,0.000
2022-01-05T17:00,9.2,84,0.000,0.000,0.000,1.017,0.000
2022-01-05T18:00,7.8,86,0.000,0.000,0.000,1.017,0.000
2022-01-05T19:00,5.9,88,0.000,0.000,0.000,1.017,0.000
2022-01-05T20:00,2.8,91,0.000,0.000,0.000,1.017,0.000
2022-01-05T21:00,1.4,89,0.000,0.000,0.000,1.017,0.000
2022-01-05T22:00,-0.4,89,0.000,0.000,0.000,1.017,0.000
2022-01-05T23:00,-1.4,88,0.000,0.000,0.000,1.017,0.000
2022-01-06T00:00,-3.3,86,0.000,0.000,0.000,1.017,0.000
2022-01-06T01:00,-4.8,86,0.000,0.000,0.000,1.017,0.000
2022-01-06T02:00,-5.1,85,0.000,0.000,0.000,1.017,0.000
2022-01-06T03:00,-6.7,85,0.000,0.000,0.000,1.017,0.000
2022-01-06T04:00,-5.0,85,0.000,0.000,0.000,1.017,0.000
2022-01-06T05:00,-5.5,85,0.000,0.000,0.000,1.017,0.000
2022-01-06T06:00,-6.9,84,0.000,0.000,0.000,1.017,0.000
2022-01-06T07:00,-8.3,84,0.000,0.000,0.000,1.017,0.000
2022-01-06T08:00,-8.8,81,0.000,0.000,0.000,1.017,0.000
2022-01-06T09:00,-9.5,80,0.000,0.000,0.000,1.017,0.000
